RagaID,RagaName,Mu,Sigma
152,MaruBihag,37.352863823653685,9.619533748015886
153,MarvaR,31.165039502164465,8.35372716079563
154,Meeramalhaar,28.04949757700958,8.74029413531499
155,Megh,32.20102495911716,8.28337722377458
156,MiyakiMalhaar,32.93855947781099,9.525806498192583
157,Mohiniahi,38.195326884044114,9.505759690777392
158,Multani,29.33588169193807,8.433080749144462
159,Narayani,30.03976523016022,7.78084264544438
160,Nat,32.01405009007729,8.490507346883186
161,NatMalhar,32.01405009007729,8.490507346883186
162,Natabihag,30.31982998816334,7.845968366950436
163,Natbhairav,28.658174587722467,7.362591680974839
164,Pahadi,29.89284268525508,9.150652451219456
165,Palasi,36.488466453665694,9.564263101482492
166,Pancham,38.000966353564586,9.272958774781966
167,Paraj,28.658174587722467,7.362591680974839
168,PatManjiri,30.29442530612552,7.868220145093748
169,PatManjiriK,29.803574503494577,7.951102553586739
170,Patdip,29.85157272502946,7.44536190544089
171,Patdipki,36.214935565914764,8.603528278748048
172,Pilu,38.000966353564586,9.272958774781966
173,PoorviR,38.000966353564586,9.272958774781966
174,Prabhat,30.530192765973776,8.353236114256246
175,Pradeepaki,37.049404515956994,9.94006930692217
176,Purba,37.352863823653685,9.619533748015886
177,Puriya,38.46041024488826,9.549876751927828
178,Puriyadhanashri,37.049404515956994,9.94006930692217
179,PurvaKalyaan,38.46041024488826,9.549876751927828
180,PurviSarang,33.774719739569434,10.654863517421632
181,Rageshri,35.67330094709965,10.439073389576091
182,RamPriya,32.05154135984435,8.416017458327264
183,RamdasiMalhar,38.000966353564586,9.272958774781966
184,Ramkali,34.49597158466514,10.471134950759302
185,Reva,37.22725834269624,9.133100987820407
186,Saajgiro,28.658174587722467,7.362591680974839
187,SakhLaccha,31.422496823647013,8.48131835284501
188,Samanthasarang,36.072808026932364,10.966969142891736
189,Saraswati,36.63405146389072,10.139427983396919
190,SaraswatiRanjani,32.01405009007729,8.490507346883186
191,Sarparda,29.85157272502946,7.44536190544089
192,Savan,34.87902608643683,8.97294252499596
193,Saveri,34.87902608643683,8.97294252499596
194,SaveriBhairav,30.81046519619304,8.407573576396716
195,Shahana,30.81046519619304,8.407573576396716
196,ShahanaKanada,25.9678254437715,7.3032758362377175
197,Shankara,35.7024481984016,9.56491307474109
198,Shivabhairav,34.85122228107248,9.1692143882349
199,ShivmatBhairav,27.468223171043164,8.058315667066923
200,Shivranjani,35.436595209074866,10.20883470616977
201,Shobhavari,35.29070331577786,10.347810165237833
202,Shree,32.63972256361015,9.516786005262325
203,ShuddhaBarari,32.37640176952937,8.996550087669775
204,ShuddhaKalyaan,28.658174587722467,7.362591680974839
205,ShuddhaNat,33.45983591701764,9.442133195686242
206,ShuddhaSarang,33.828198403110655,10.35108117390829
207,Shuklabilaval,32.812444273872124,8.772146815358171
208,ShyamKalyaan,35.628619766314074,9.418743101950069
