From,To,Probability
0 2,5,0.0008873114463176575
2 0,5 -1,0.0008873114463176575
0 5,-1 -1,0.0008873114463176575
-1 0,2 5,0.0008873114463176575
7,7,0.005323868677905945
7,2,0.0008873114463176575
7 7,2,0.0008873114463176575
7 2,0,0.0008873114463176575
2 0,4,0.0008873114463176575
7 7,2 0,0.0008873114463176575
7 2,0 4,0.0008873114463176575
2 0,4 2,0.0008873114463176575
2,2,0.006211180124223602
0 2,2,0.0008873114463176575
2 2,-3,0.0008873114463176575
-1 0,2 2,0.0008873114463176575
0 2,2 -3,0.0008873114463176575
2 2,-3 -2,0.0008873114463176575
-2,-3,0.0008873114463176575
-3,-5,0.0008873114463176575
-5,-5,0.001774622892635315
-2 -3,-5,0.0008873114463176575
-3 -5,-5,0.0008873114463176575
-5 -5,-5,0.0008873114463176575
-2 -3,-5 -5,0.0008873114463176575
-3 -5,-5 -5,0.0008873114463176575
2 4,2,0.006211180124223602
2 4,2 4,0.0044365572315882874
4 2,4 2,0.001774622892635315
9 7,10,0.0008873114463176575
7 9,7 10,0.0008873114463176575
9 7,10 9,0.0008873114463176575
4 2,2,0.00354924578527063
2 2,4,0.005323868677905945
5 4,2 2,0.001774622892635315
4 2,2 4,0.00354924578527063
2 2,4 2,0.0026619343389529724
2 4,5 2,0.0008873114463176575
4,-1,0.001774622892635315
2 4,-1,0.001774622892635315
0,-3,0.001774622892635315
-1 0,-3,0.001774622892635315
0 -3,-2,0.001774622892635315
-3 -2,2,0.001774622892635315
-1 0,-3 -2,0.001774622892635315
0 -3,-2 2,0.001774622892635315
11,11,0.0044365572315882874
-1 0,5,0.0008873114463176575
0 5,7,0.001774622892635315
7 11,11,0.0026619343389529724
-1 -1,0 5,0.0008873114463176575
-1 0,5 7,0.0008873114463176575
0 5,7 11,0.001774622892635315
5 7,11 11,0.0026619343389529724
12,12,0.00354924578527063
12 12,12,0.0008873114463176575
12,15,0.00354924578527063
15,14,0.00354924578527063
12 12,11,0.0008873114463176575
11 12,15,0.001774622892635315
12 15,14,0.00354924578527063
12 12,11 12,0.0008873114463176575
12 11,12 15,0.001774622892635315
11 12,15 14,0.001774622892635315
14,12,0.005323868677905945
15 14,12,0.0026619343389529724
12 15,14 12,0.0026619343389529724
3,0,0.0008873114463176575
2 3,0,0.0008873114463176575
3 0,2,0.0008873114463176575
9 4,5 2,0.001774622892635315
5 2,3 0,0.0008873114463176575
2 3,0 2,0.0008873114463176575
3 0,2 0,0.0008873114463176575
7,12,0.001774622892635315
12,10,0.001774622892635315
5 7,7,0.001774622892635315
7 7,7,0.0008873114463176575
7 7,12,0.0008873114463176575
7 12,10,0.001774622892635315
4 5,7 7,0.001774622892635315
5 7,7 7,0.0008873114463176575
7 7,7 12,0.0008873114463176575
7 7,12 10,0.0008873114463176575
9 7,5,0.001774622892635315
10 9,7 5,0.001774622892635315
4 2,3,0.00354924578527063
5 4,2 3,0.00354924578527063
4 2,3 2,0.00354924578527063
0 5,4,0.0008873114463176575
0 5,4 2,0.0008873114463176575
2 -1,0 -3,0.0008873114463176575
3 2,2,0.0008873114463176575
2 4,4,0.001774622892635315
4 4,5,0.001774622892635315
3 2,2 4,0.0008873114463176575
2 2,4 4,0.0008873114463176575
2 4,4 5,0.001774622892635315
7 7,5,0.0026619343389529724
2 2,4 5,0.001774622892635315
5 7,7 5,0.0008873114463176575
7 5,4,0.00354924578527063
5 7,5 4,0.001774622892635315
7 5,4 2,0.001774622892635315
4 2,4 4,0.0008873114463176575
4 4,5 4,0.0008873114463176575
4 5,9,0.0008873114463176575
2 4,5 9,0.0008873114463176575
4 5,9 7,0.0008873114463176575
9 7,7,0.001774622892635315
9 7,7 5,0.001774622892635315
7 7,5 4,0.0008873114463176575
7 5,4 5,0.001774622892635315
7 10,9 7,0.0008873114463176575
12 12,14,0.0008873114463176575
12 12,14 9,0.0008873114463176575
7 7,5 5,0.0008873114463176575
5 2,4,0.001774622892635315
5 2,4 5,0.001774622892635315
3 2,3,0.0008873114463176575
2 3,2 3,0.0008873114463176575
3 2,3 2,0.0008873114463176575
2 0,5 7,0.0008873114463176575
11 11,11,0.0008873114463176575
11 11,12,0.001774622892635315
11 11,11 12,0.0008873114463176575
11 11,12 14,0.0008873114463176575
10,14,0.0008873114463176575
9 10,14,0.0008873114463176575
14 9,10 14,0.0008873114463176575
14,11,0.0008873114463176575
14 12,15,0.0008873114463176575
14 12,14,0.001774622892635315
12 14,11,0.0008873114463176575
14 12,15 14,0.0008873114463176575
15 14,12 14,0.0008873114463176575
14 12,14 11,0.0008873114463176575
12,9,0.001774622892635315
11 12,9,0.001774622892635315
12 9,7,0.0008873114463176575
11 12,9 7,0.0008873114463176575
9 7,5 4,0.0008873114463176575
5 7,12,0.0008873114463176575
12 10,9,0.0008873114463176575
4 5,7 12,0.0008873114463176575
5 7,12 10,0.0008873114463176575
7 12,10 9,0.0008873114463176575
7 5,7 11,0.0008873114463176575
7 11,11 12,0.0008873114463176575
12 14,12,0.001774622892635315
11 12,14 12,0.0008873114463176575
12 14,12 14,0.0008873114463176575
14 12,14 12,0.0008873114463176575
12,16,0.0008873114463176575
16,11,0.0008873114463176575
14 12,16,0.0008873114463176575
12 16,11,0.0008873114463176575
16 11,12,0.0008873114463176575
15 14,12 16,0.0008873114463176575
14 12,16 11,0.0008873114463176575
12 16,11 12,0.0008873114463176575
16 11,12 9,0.0008873114463176575
10 9,7 9,0.0008873114463176575
